URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Consists of,Principle Author / Analyst,Donor Institution/sample Source,Dataset Type,Compositional Group,Sample Source Person,Year,Vessel Part Sampled,Photograph No. - Located In Photographs Folder.,Artefact Type,Museum No.,Group (icp),ICP - Ba,ICP - Ca,ICP - Ce,ICP - Cu,ICP - Fe,ICP - Ga,ICP - Hf,ICP - K,ICP - La,ICP - Li,ICP - Mg,ICP - Na,ICP - Ni,ICP - Sc,ICP - Sr,ICP - Ti,ICP - V,ICP - Yb,ICP - Zn,Sample Weight (g)
"http://opencontext.org/subjects/EAFD5A63-83C0-43A3-691C-08878757A66D","http://n2t.net/ark:/28722/k23j3944n","UNE 104","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","San Diego","","http://opencontext.org/subjects/2D733C71-AABC-4ED8-4ADB-9C1E18217D86","13.539201","121.168213","1600","1600","Pottery","2013-03-07T00:00:00Z","2017-02-11T20:42:13Z","ceramic","Peter Grave","National Museum of the Philippines","A Ship","1","Eusebio Dizon","1600","base","UNE 104","intact jar","706","1","475.54","1366.57","120.03","27.82","14855.69","27.29","4.82","21721.65","88.31","25.39","5677.31","2328.68","8.6","9.74","53.75","3030.14","39.88","3.83","88.53","4.5"
"http://opencontext.org/subjects/117C329D-85CB-4FD8-52EE-011DCA610301","http://n2t.net/ark:/28722/k21n82z59","UNE 373","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-11T21:26:57Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","3","Linda Torres","1638","base","UNE 373","intact jar","B1887","3","284.63","1032.15","86.34","16.49","16284.59","31.6","5.41","13760.59","45.93","70.8","5111.64","811.15","24.75","13.53","43.81","6564.01","109.56","3.15","70.59","3"
"http://opencontext.org/subjects/3B8F6B9B-F92A-4012-B12E-E52F04F2D661","http://n2t.net/ark:/28722/k22z12s88","UNE 343","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-11T03:06:48Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","3","Linda Torres","1638","base","UNE 343","intact jar","B2380","3","318.98","793.41","96.6","17.34","14596.68","28.04","6.23","15672.95","50.3","72.56","4249.45","781.06","23.72","14.94","43.19","5863.85","105.44","3.09","70.3","0.5"
"http://opencontext.org/subjects/2807D3AF-02AE-4B0F-9ECC-F7BB979695C2","http://n2t.net/ark:/28722/k2kk98q1c","UNE 342","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T06:57:42Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","3","Linda Torres","1638","base","UNE 342","intact jar","A639","3","260.61","1275.24","75.37","13.12","12778.84","24.9","4.3","13065.89","41.7","60.41","2941.12","790.8","19.97","11.67","38.18","5529.9","89.23","3.03","55.31","0.5"
"http://opencontext.org/subjects/9291B4B4-AAEF-4EB0-09F6-85B489741486","http://n2t.net/ark:/28722/k24b2x79q","UNE 149","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","San Diego","","http://opencontext.org/subjects/2D733C71-AABC-4ED8-4ADB-9C1E18217D86","13.539201","121.168213","1600","1600","Pottery","2013-03-07T00:00:00Z","2017-02-13T14:44:52Z","ceramic","Peter Grave","National Museum of the Philippines","A Ship","2","Eusebio Dizon","1600","base","UNE 149","intact jar","2188","2","323.68","1692.63","84.05","17.33","28897.32","24.85","5.99","17822.47","52.63","42.57","4169.2","2106.8","17.34","11.59","55.1","4894.31","71.66","3.26","84.6","4"
"http://opencontext.org/subjects/EE002876-A00F-4FED-CADF-66ADE2009E70","http://n2t.net/ark:/28722/k2v40q96c","UNE 338","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-11T18:40:16Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","2","Linda Torres","1638","base","UNE 338","intact jar","B2403","2","366.02","2078.36","105.03","11.24","30752.84","24.55","3.76","18623.91","56.63","41.33","3884.94","3328.47","17.27","13.63","63.41","4882.19","76.66","3.53","97.8","6"
"http://opencontext.org/subjects/8F4D0A98-7582-4504-EA28-4117A62450E4","http://n2t.net/ark:/28722/k2s46nh9b","UNE 375","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-13T14:44:50Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 375","intact jar","B1891","1","457.86","1715.41","128.94","12.04","13634.34","17.89","6.76","25990.3","75.22","22.32","3564.15","2163.42","9.8","10.48","49.61","3935.34","39.9","3.53","79.71","2"
"http://opencontext.org/subjects/CE0401C6-3E8F-4F38-5CBF-9E8D77CD82BB","http://n2t.net/ark:/28722/k27h1jz3z","UNE 267","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T15:06:30Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","1","Linda Torres","1638","base","UNE 267","intact jar","B2614","1","359.39","1269.9","104.34","6.81","21831.33","20.36","6.6","18181.22","67.12","23.06","2310.41","1575.7","8.99","9.82","39.32","3950.96","44.17","3.64","63.57","1.5"
"http://opencontext.org/subjects/69C65698-1279-4E1A-582D-E025FD11DB72","http://n2t.net/ark:/28722/k2280525c","UNE 233","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Northern Mariana Islands","Conception","","http://opencontext.org/subjects/C488564F-14FA-4869-7BF7-CF70BABB3AEF","15.199386","141.811523","1638","1638","Pottery","2013-03-07T00:00:00Z","2017-02-09T03:45:16Z","ceramic","Peter Grave","Commonwealth of the Northern Mariana Islands Museum","A Ship","2","Linda Torres","1638","base","UNE 233","intact jar","B2475","2","184.22","4796.24","67.66","8.24","28343.98","19.78","5.05","10688.34","38.16","27.11","16117.57","1850.28","20.13","9.55","81.86","3945.92","31.04","3.31","113.91","3"
"http://opencontext.org/subjects/25F5DF3A-4662-43F0-0D45-5225D9C43D27","http://n2t.net/ark:/28722/k2611136v","UNE 115","Asian Stoneware Jars","http://opencontext.org/projects/4B16F48E-6F5D-41E0-F568-FCE64BE6D3FA","Philippines","San Diego","","http://opencontext.org/subjects/2D733C71-AABC-4ED8-4ADB-9C1E18217D86","13.539201","121.168213","1600","1600","Pottery","2013-03-07T00:00:00Z","2017-02-11T19:10:48Z","ceramic","Peter Grave","National Museum of the Philippines","A Ship","4","Eusebio Dizon","1600","base","UNE 115","intact jar","2818","4","394.43","2418.6","68.81","44.58","48883.6","34.67","3.6","13265.03","40.54","44.53","8304.69","3247.49","33.27","17.91","67.8","3968.43","113.9","4.47","82.47","3"
